epsilon,lambda,CTX,SSI,ERR(RA)
4.7,0.7,0.07069,0.887178,0.996157
4.7,0.8,0.07498,0.896066,0.996237
4.7,0.9,0.08751,0.919683,0.996306
4.7,1.0,0.10056,0.915453,0.996089
4.8,0.1,0.05202,0.819154,0.99629
4.8,0.2,0.0536,0.815777,0.996554
4.8,0.3,0.05563,0.821792,0.995935
4.8,0.4,0.05752,0.842358,0.997374
4.8,0.5,0.06166,0.861978,0.995939
4.8,0.6,0.06686,0.877868,0.995624
4.8,0.7,0.06967,0.886061,0.996117
4.8,0.8,0.07993,0.903701,0.996247
4.8,0.9,0.08594,0.913264,0.996592
4.8,1.0,0.09581,0.919851,0.996537
4.9,0.1,0.05442,0.811864,0.997042
4.9,0.2,0.05059,0.818822,0.995947
4.9,0.3,0.05792,0.81953,0.996574
4.9,0.4,0.06008,0.828663,0.997182
4.9,0.5,0.06178,0.8477,0.997419
4.9,0.6,0.06532,0.881743,0.99767
4.9,0.7,0.06919,0.886744,0.997007
4.9,0.8,0.07907,0.902987,0.997165
4.9,0.9,0.08598,0.904249,0.996197
4.9,1.0,0.09527,0.926127,0.996083
5.0,0.1,0.04882,0.815127,0.997653
5.0,0.2,0.05378,0.814065,0.997552
5.0,0.3,0.05827,0.817194,0.997233
5.0,0.4,0.06299,0.845283,0.997313
5.0,0.5,0.06278,0.850083,0.99659
5.0,0.6,0.06506,0.887486,0.99687
5.0,0.7,0.06924,0.892161,0.996737
5.0,0.8,0.07899,0.89525,0.997151
5.0,0.9,0.08832,0.921624,0.996423
5.0,1.0,0.09405,0.920768,0.997598
